                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.76405,                0.69686,                 1.1793,                0.89393,                0.86682,                0.91717,                0.71439,                0.82606,                0.63941,                 1.2194,               0.007525,               0.007525,               0.007525
                     77,                 0.7564,                0.70128,                 1.1804,                0.88782,                0.87665,                0.91728,                0.70437,                0.83899,                0.64905,                 1.2115,               0.007492,               0.007492,               0.007492
                     78,                 0.7588,                 0.6922,                 1.1772,                0.87129,                0.87861,                0.91273,                0.70596,                0.83458,                0.65195,                 1.2219,               0.007459,               0.007459,               0.007459
                     79,                0.75093,                0.69683,                 1.1718,                0.86893,                0.87632,                  0.911,                0.71238,                0.82946,                0.62435,                 1.2152,               0.007426,               0.007426,               0.007426
                     80,                0.75852,                0.69177,                  1.183,                0.87568,                0.91061,                0.92357,                0.71402,                 0.8399,                0.60936,                 1.2326,               0.007393,               0.007393,               0.007393
                     81,                0.75288,                0.68001,                 1.1782,                0.86854,                0.88997,                0.92236,                0.71892,                0.82349,                0.60175,                 1.2046,                0.00736,                0.00736,                0.00736
                     82,                0.75058,                0.68224,                 1.1756,                0.87903,                0.86031,                0.90269,                0.69655,                0.82489,                0.64891,                 1.2144,               0.007327,               0.007327,               0.007327
                     83,                0.75647,                0.68101,                   1.18,                0.88881,                0.87947,                0.91044,                0.70391,                0.84273,                0.60828,                 1.2226,               0.007294,               0.007294,               0.007294
                     84,                0.75756,                0.68889,                 1.1724,                0.88461,                0.87772,                0.91913,                0.70949,                0.82951,                0.60773,                 1.2178,               0.007261,               0.007261,               0.007261
                     85,                0.75001,                0.67656,                 1.1679,                0.87609,                0.88175,                0.91353,                0.69899,                 0.8323,                0.62449,                  1.224,               0.007228,               0.007228,               0.007228
